Speaker,Sentences
[OTH],"All right, boys, you're up next. Welcome to Mr. Hankey's Happy Lollyland!"
[OTH],"Hoh, boy. Here we go!"
[OTH],"Howdy ho, boys."
[OTH],Mr. Hankey?
[OTH],"Gosh, you boys smell like flowers."
[OTH],You're not the real Mr. Hankey.
[OTH],Sure I am! Howdy ho!
[OTH],You look a lot bigger than the last time we saw you.
[OTH],"Well, Mr. Hankey has to grow too, you know. Howdy ho!"
[OTH],You boys want your picture with Mr. Hankey?
[OTH],This is not Mr. Hankey! This is a fake!
[OTH],"It's okay, kids. I'm real. Hoowwdy ho!"
[OTH],Hoowwdy ho!
[OTH],Why are you people doing this? Why would you lie like this? To children?
[OTH],"Look, kid. There's Mr. Hankeys like me in every shopping mall. There is no real Mr. Hankey."
[OTH],What?! What did you say?!
[OTH],"Oh, boy. You've done it now."
[OTH],Huh??
[OTH],Behold! Here's your false prophet!
[OTH],Boo!
[OTH],Ow!
[OTH],Die!
[OTH],Ow!
[OTH],Get out!
[OTH],You son of a bitch! Rip it down! Get out!
[OTH],"You lied to me, Mother. You said it was the real Mr. Hankey."
[OTH],"Uh, well, yes, but-"
[OTH],"I will not forget this, Mother. I will not forget this, ever."
[OTH],This is revolution!
[OTH],Wah-hahow!
[OTH],"Uh oh, they're rioting again."
[OTH],"And all the poos down in Pooville joined hands and they sang
They sang all the same
And he himself, the Grinchy Poo, carved the roast poo."
[OTH],"Wow, man. That's beautiful. He was evil, but now he's good."
[OTH],What's happening?
[OTH],Some kid must have said it wasn't the real Mr. Hankey again.
Cartman,I told you guys. The holiday season is nothing but lies and bullcrap!
[OTH],"Well, how was it?"
[OTH],It was a fake!
[OTH],"Oh, I'm sorry."
[OTH],Cartman was right! The holiday season is for idiots!
[OTH],"Where did you go, Uncle Charlie?"
[OTH],"Uh, I went to a beauty parlor and had my tattoo redone. Look!"
Cartman,"Oh, uh that's pretty cool."
[OTH],Hey. Where's Kenny?
[OTH],Oh. He's... around.
[OTH],"(Hey guys, what's up?)"
[OTH],"Oh, hey Kenny."
[OTH],"Come on, I'll buy you kids an orange Smoothie."
[OTH],Ooooo!
[OTH],"Hey, there he is! That's Charlie Manson!"
[OTH],"Run for your lives, boys!"
Cartman,Ugh! Wait! You guys. Seriously.
[OTH],"Come back here, God damnit! He's getting away!"
[OTH],"Keep your heads down, kids!"
Cartman,Ey! What the hell is wrong with you people?!
[OTH],"I can't believe they would put a fake Mr. Hankey in a mall! If Mr. Hankey ever found out, he'd be so pissed!"
[OTH],We interrupt this program for a breaking news story.
[OTH],A high speed car chase is happening right now on interstate 3. We go now to our live sky-fi helicopter.
[OTH],"Ron, it looks as though the chase is proceeding west down the interstate."
[OTH],"Oh, that looks a lot like your car, Harold."
[OTH],"We understand that Charles Manson is inside the car with several hostages, all of whom are children My God, what is this world coming to? Well, we'd like to take a moment to tell you that this car chase is being brought to you by Snacky S'mores , the creamy bonbon s'mores in a delightful cookie crunch."
[OTH],They're gaining on us!
[OTH],Fudgecicle!
[OTH],Kickass!
[OTH],"God, I hate the holiday season!"
[OTH],"Oh, hello kids. Having fun-?"
[OTH],Get in the house!
[OTH],"Alrighty, then."
Cartman,Lock the door!
[OTH],"Oh my God, it's Charlie Manson! Whoa!"
[OTH],What's going on?
[OTH],There's a bunch of policemen chasing after us!
[OTH],"Quiet down, we're watching television."
[OTH],"Oh, Phillip, what a precious gift!"
[OTH],"That's right, Terrance. This is the season for sharing."
[OTH],The cops are here!
[OTH],Howard!
[OTH],"How did you get out, son?"
[OTH],"All right, Manson, we know you're in there! Come out peacefully, and we'll shoot you!"
[OTH],"Tell him we won't shoot him, Boss."
[OTH],"Oh, yeah. That's a good idea. Come out peacefully, and we won't shoot you!"
[OTH],"Oh, look. Police Chief Stevens got a new haircut."
[OTH],"Get down, Ma!"
[OTH],"Hey, man, don't point a gun at your own mother!"
[OTH],"What the hell is wrong with you, Manson? You're acting all funny! Everybody just sit down and shut up! We're not going back to the big house!"
[OTH],"Well, Howard, you've done it again! You've ruined Christmas!"
[OTH],"This is Robert Pooner reporting live from Nebraska, where escaped convict Charlie Manson has walled himself up in a house. We understand that there are hostages, and that the situation is critical, , so we would like to remind you all that this live hostage crisis is being brought to you by Palmoral Sun Block . Remember, if it isn't Palmoral, you're gonna get cancer."
[OTH],What's going on here?!
[OTH],"We've got a critical situation, ma'am. Charlie Manson is holding everybody inside hostage."
[OTH],Is this the Cartman residence?
[OTH],"Yes, ma'am."
[OTH],Give me that! Stanley! This is your mother!
[OTH],Oh ooh.
[OTH],"What's your mom doing here, dude?"
[OTH],"Young man, I have had it! You have disobeyed me for the last time!"
[OTH],"Wow, she's really pissed."
[OTH],"I'm glad I'm not you right now, kid."
[OTH],"What do you have to say for yourself, Stanley?!"
[OTH],...Sorry.
[OTH],"Still more developments in the Manson hostage crisis. Uh, it appears now that eight-year-old Stan Marsh is in BIG, big trouble. He apparently disobeyed his parents, left home without telling them, and uh, Tom, his- his mother is very disappointed with him."
[OTH],Damn it! What are we gonna do?
[OTH],Sshhhh! We're watching television.
[OTH],Waitwaitwaitwait.
[OTH],Check out this one.
[OTH],"Hold on, hold on. Over here, over here."
[OTH],"Okay, here I come, okay."
[OTH],"Okay, waitwait waitwait."
[OTH],Come out with your hands up!
[OTH],"Damnit, Dad, why didn't you put a back door on this house?!"
[OTH],"Well, there's that old window in the bathroom; you could probably squeeze through there."
[OTH],"That's it! We're going out the bathroom window! Come on, Manson!"
[OTH],But I gotta see what happens.
[OTH],"Come on, damn it! Well, it's good seeing you all. Don't move until we're gone or I'll shoot you dead. Happy holidays."
[OTH],Happy holidays.
[OTH],"Dude, they're gonna kill me."
[OTH],"All right, Manson, this is it! We're coming in after you! There's gonna be a lot of bloodshed, and a lot of innocent people are gonna die! You've got until 100-Marshmallow to come out!"
[OTH],"1-Marshmallow, 2-Marshmallow,..."
[OTH],"All right, it's open! Let's go!"
[OTH],'Scuse me. I wanna go with you.
[OTH],Huh?!
[OTH],"Please, I don't wanna go back with them."
[OTH],"But Stan, your mother and father are out there!"
[OTH],I know! They've come to punish me. All they wanna do is make me pay for comin' to Nebraska in the first place.
[OTH],"All right, kid, you can come. Now, let's go."
[OTH],"Stan, I wanna talk to you about family."
[OTH],What?!
[OTH],What?!
[OTH],"You see, I had a family once. At least, I called them my family. Really, they were nothin' but a gang of people I thought were my friends. Ah after we killed a bunch of people together, I realized that my real family was who took care of me, and who took the time to care about what I did."
[OTH],"But they don't care about me, they just want to punish me."
[OTH],"If they don't care about you, would they have driven nine hours to Nebraska?"
[OTH],"I guess you're right, Uncle Charlie. Thanks."
[OTH],Now can we go??
[OTH],"No, Howard. You go ahead. I've got something to say."
[OTH],"Oh, weak!"
[OTH],"Folks, I apologize for this whole mess. I'm going to surrender. Somebody show the police a white flag."
[OTH],"90-Marshmallow, 91-Marshmallow This is making me hungry for marshmallows 92-Marshmallow"
[OTH],"Look out, he's got a white flag!"
[OTH],"Oh my God, they killed the little orange-coat kid!"
[OTH],You bastards!
[OTH],They're surrendering!
[OTH],"Okay, grab a hold of him. You're under arrest, buddy."
[OTH],"All right you, spread 'em!"
[OTH],"You're going back to prison to rot, Manson!"
[OTH],Good! I deserve to!
[OTH],What??
[OTH],"I can never make it up to the families that I destroyed, but at least I'll make an example for anyone else thinking that crime is an answer."
[OTH],Stop that.
[OTH],"You see, I get it now! I finally understand what the holidays are all about. Boys, don't you see? You can't let things get you down during the holidays, because being happy is what the holidays are all about!"
[OTH],Charlie's right! I'm not gonna let some fake Mr. Hankey spoil my holidays.
[OTH],"I've been such a bastard all these years, and I finally understand. And it it it feels great! If I feel like- I feel like I'm in my own Christmas special. You see...
Holidays are that special time
When we laugh and sing and feel warm and cozy
Forget about being angry for a day Remember how it felt to be a child
Opening presents on Christmas mornin' 
That's the way that we should all feel now
So I say Happy happy happy happy holy happy happy happy
Holidays"
[OTH],Happy happy happy happy holy happy happy happyHolidays
[OTH],"Happy Kwanzaa, too
From me to you
Happy Holidays, you guys."
[OTH],"Happy Holidays, Bob."
[OTH],"Happy Holidays, Chief."
[OTH],"Come on, Manson. You belong in jail."
[OTH],You're darn right I do.
[OTH],"Well, I guess I'll be going, Mom and Dad. I hope you can forgive me."
[OTH],"Oh, of course we forgive you, son. It was nice of you to pop in for the holidays."
[OTH],"Yes. Now, watch that ass in prison, son."
[OTH],"I always do. See ya, Eric. Thanks for all your help."
Cartman,"See ya, Uncle Howard. Thanks for being such a great role model for me. Piece of crap."
[OTH],"I hope you can forgive me, too, Mom."
[OTH],"Oh, Stanley. Let's just forget the whole thing and have a nice holiday back home."
[OTH],Really?
[OTH],Sure. We'll punish you after the holidays.
[OTH],"Hooray! Uh, I mean, wait. What?"
[OTH],"And so, Manson is hauled off to jail to rot in his cell. Everything is back to normal, and I guess the only thing left to say is, God bless us, everyone."
[OTH],"""And I guess that's what I've learned. I'm sorry for what I did, but that doesn't make up for it. I deserve to be in jail. All I hope is that I don't make mankind lose faith in itself. Yes, there's murderers in the world. There's rapists and thieves. But those are the vast minority. The majority of mankind is made up of caring people, who try every day to do what they think is right. And that's the spirit of the season."" What do you think, guys?"
[OTH],"It sucks, just like all your other books."
[OTH],"Well, Guh Good night, you guys. Happy Holidays."
[OTH],Shut up!
[OTH],What was that? What the?!
Cartman,"Merry Christmas, Charlie Manson! ""Hark,"" the herald angels sin,
""Glory to the newborn King
Peace on earth, and mercy mild
God and sinners reconciled"" Joyful all ye nations rise
Join the triumph of the skies
""Hark,"" the herald angels sing"
[OTH],"Dude, this is pretty fucked up right here."
[OTH],"The answer is ""no"", Stanley!"
[OTH],"But Mom, all the guys are going to Cartman's Grandma's for the weekend!"
[OTH],"I'm sorry, Stanley, I can't let you go all the way to Nebraska by yourself. It's the holidays."
[OTH],But all the other guys get to go to Cartman's Grandma's; why can't I?
[OTH],I'll leave it up to your father.
[OTH],"Eh, it's fine with me."
[OTH],"The answer is no, Stanley! Now go wash up for supper!"
[OTH],I don't want your lame-ass supper!
[OTH],Ew! You're gonna get it now.
[OTH],"Go to your room, Stanley! Right now!"
[OTH],Can't tell me what to do! I'm eight years old! I don't need this stupid family anyway!
[OTH],It's so nice of you to take all the boys with you.
[OTH],"Oh, it's my pleasure. Eric loves his little friends."
Cartman,"Every time I go to my Grandma's house, she gives me a present. You watch: as soon as I walk in the door she'll hand me a big present, for no reason, except that I'm cool."
[OTH],"That's nice, Cartman."
[OTH],"Now, remember, if they have left-over turkey, put some in a bag and bring it home, okay?"
[OTH],(Okay.)
[OTH],"Okay, let's go!"
Cartman,"Oh, I didn't think you were coming, Stan."
[OTH],"'Course I'm coming! Come on, let's hurry!"
[OTH],"Goodbye, bubbe! Be careful!"
[OTH],"See you in a couple of days, son."
Cartman,"Shotgun! It's my car, I call it first: shotgun! Kenny, I called it shotgun! Dammit, Kenny, get in the back! Hey, Kenny, there's a sale on orange jackets over there. Look, Kenny, there's an elephant parade! Ken-ny. Kenny, look. Look! Go get it! , Go get it! ha ha ha, you poor piece of crap."
[OTH],"So, how far is it to Nebraska?"
[OTH],Around six hours.
[OTH],Oh my God! What the hell are we gonna do for six hours?
[OTH],"Well, I've got an idea. We could sing."
[OTH],"Yeah. Or, we could not."
Cartman,"Let's sing that one Grandma song, Ma. How does it go?"
[OTH],Over the meadow and through the woods
Cartman,"To Grandmother's house we go
The horse knows the way to carry the sleigh
Through white and drifted snow..."
Cartman,"Over the meadow and through the woods
To Grandmother's house we go
The horse knows the way to carry the sleigh"
[OTH],Please stop.
Cartman,Through white and drifted snow
[OTH],Please stop!
Cartman,"Over the meadow and through the woods,
To Grandmother's house we go"
Cartman,Argh!
[OTH],"Ooo, careful hon. These roads are bumpy."
Cartman,"I guess, damn!"
[OTH],"Here we go, kids. We're crossing the state line into Nebraska."
[OTH],This is Nebraska?
[OTH],What's all that stuff?
[OTH],"Wheat. The building block of your favorite foods, and, Nebraska's principal source of economic productivity. You see, when Nebraska first became--"
Cartman,"We don't care, Mom."
[OTH],"Hey, look! See Mr. Hankey at the Mall of Nebraska... Wow! We have to go, dude!"
[OTH],"Dude, I thought Mr. Hankey lived in the sewer. What's he doing in Nebraska?"
[OTH],"I don't know. Ever since he was in that movie, he got all famous."
Cartman,"Oh, so now everybody wants to meet Mr. Hankey! He's a piece of crap."
[OTH],It doesn't matter. He'll be most excited to meet me!
[OTH],That shouldn't be a problem. Eric's Grandma is right near the mall.
[OTH],Cool!
Cartman,How much further is it to Grandma's house? I wanna see what kind of present she got me.
[OTH],"About another hour, hon."
Cartman,Why does Grandma have to live so far away? Why don't we just stick her in a nursing home closer to us so I don't have to drive six hours to get a god-damned present?!
[OTH],"Now, Eric, let's try to get out of that grumpy mood before we get to Grandma's."
Cartman,Over the meadow and through the woods
Cartman,To Grandmother's house we go
[OTH],"Oh, God!"
Cartman,"The horse knows the way to carry the sleigh
Through white and drifted snow..."
Cartman,Over the meadow and through the woods...
[OTH],Here we are.
[OTH],"Jesus Christ, finally!"
Cartman,Grandmagrandmagrandmagrandma!
[OTH],"Oh, it's little Eric!"
Cartman,"Hi, Grandpa!"
[OTH],Look at how big you've gotten!
[OTH],"Hi, Eric. Grandma got you a present."
Cartman,Sweet. What is it?
[OTH],It's inside.
Cartman,Yes! Move it!
[OTH],Hello everyone. Happy Holidays!
[OTH],Hello!
[OTH],"These are Eric's friends: Stan, Kyle, and Kenny. Boys, let me introduce you to the Cartman family. This is Uncle Stinky."
[OTH],Nice to have you heuh.
[OTH],"Aunt Lisa, Cousin Fred, Cousin Alexandra , Fat Bob, Jimmy , and great-grandma Florence."
[OTH],"Come here, Eric. Give your great-grandma some huggies."
[OTH],Agghh!
[OTH],"No, no, Florence, that's not Eric."
[OTH],"Oh, which one is he, then?"
[OTH],He's the fat one.
[OTH],"He's not fat, he's big-boned."
Cartman,"I'm not fat, I'm big-boned. Ech."
[OTH],That was totally gross. She smelled like vitamins and pee.
[OTH],"Sick, dude."
Cartman,"Al-righty then. Let's get to my presents, shall we?"
[OTH],"Here you go, Eric. Hap-py Holidays!"
Cartman,"Wait a minute. This isn't a present, it's a shirt!"
[OTH],Yes. I thought that would look really good on you.
Cartman,"Are you telling me that I drove nine hours through butt-fucking nowhere to get a god-damned shirt?! Mom, Grandma's gone senile! It's time to stick her in a home!"
[OTH],"Well, this is what the holidays are about. Family."
[OTH],"Yeah, right!"
[OTH],"Well, what does your family do for the holidays, Stan?"
[OTH],My family's dead!
[OTH],"Ooh, I'm sorry to hear that, Stanley."
[OTH],"Dude, your family died?"
[OTH],They're dead to me. My mom doesn't even know I'm here.
[OTH],What?!
Cartman,I can't believe I got a stupid shirt! The holidays are bullcrap!
[OTH],"Here, Kyle. Will you hold Great-Grandma's catheter bag during dinner?"
[OTH],What is this??
[OTH],Great-grandma has a bladder problem. This helps her out.
[OTH],"Sick, dude!"
[OTH],"Eric, did you say 'hi' to your little cousin Elvin?"
Cartman,"Hi, cousin Elvin."
[OTH],Sweet.
[OTH],"Well, it certainly is nice we could all gather heuh for the holidays. Even Uncle Howard has joined us live via satellite from the state penitentiary."
[OTH],"Whoa, dude!"
[OTH],"You look good, Howard."
[OTH],No I don't!
[OTH],"Hi, Howard."
[OTH],"Dude, is he here every year like this?"
Cartman,Yup!
[OTH],Sweet.
[OTH],Aaww!
[OTH],"Come on, let's eat already! They gave me extra bread and water!"
[OTH],"Where's your manners, Howard? We haven't even said grace yet. Mom, will you do the honors of saying grace?"
[OTH],"God-damn it, why the hell do I always have to say grace? If one more person asks me to say grace, I'll be like, ""Eh! I'm not saying grace! And if you ask me again, I'll kick you square in the nuts!"""
Cartman,Amen.
[OTH],Ah-men.
[OTH],"Jesus, dude!"
[OTH],"No, Jimmy, this is my pot pie! No, Jimmy! That's a bad Jimmy!"
Cartman,Bad Jimmy!
[OTH],"No, Jimmy, that's Grandpa's pot pie!"
[OTH],"Dude, I don't know how long I can stay here."
[OTH],I know what you mean.
[OTH],Arrggh!
[OTH],"What, dude?"
[OTH],"Dude, I was having this horrible nightmare that we were at this house, and it was filled with Cartmans!"
[OTH],"Kyle, we are in a house filled with Cartmans."
[OTH],Oh. Arrggh!
[OTH],What was that?
[OTH],"I heard it, too."
Cartman,"Whatever it is, it's getting closer. Ow! What the hell was that for!"
[OTH],I wanted to make sure we're not dreaming.
Cartman,Ow!
[OTH],"I wanted to make sure, too."
Cartman,"Yuhwell, you're not dreaming! Ey! Cut the crap!"
[OTH],"Dude, it's coming through the window!"
Cartman,Uncle Howard!
[OTH],"Oh. Hey, Eric. I didn't think anybody'd be down here."
Cartman,"Uncle Howard, what are you doing here?!"
[OTH],We thought you were in jail.
[OTH],"Yeah, well I'b I busted out."
Cartman,"Wow, cool!"
[OTH],Sshhhh! You can't let the rest of the family know I'm here.
Cartman,Okay.
[OTH],"If it's okay, we're just gonna hang out here for a couple of days with you kids."
Cartman,Who's we? You got a turd in your pocket? Hahahaha.
[OTH],"Come on up, it's okay. Another inmate busted out with me. Don't worry, he's a good guy."
[OTH],"Oh, hi boys. I'm Charlie. Charlie Manson."
[OTH],I can't wait to get out among the pigs and raise some hell.
[OTH],"All right, Chuck, but we gotta lay low for a while."
[OTH],"When I stand up on the mountain and say, ""Do it!"", it gets done! And it it don't get done, then I'll move on it! And that's the last thing in the world you want me to do."
[OTH],"All right, Chuck. Let's watch some TV or something."
[OTH],"Now back to, ""It's A Wonderful Life""."
[OTH],"You-oo you just can't buy people, Mr. Potter, wuh. Why, you know what you are? You're a little bitch. That's right, you're a bitch, and I bet you'd like to suck it, wouldn't you?"
[OTH],"Wake up, Cartman, we've got to get to the mall."
Cartman,What?
[OTH],"We have to go see Mr. Hankey at the mall, Cartman."
Cartman,"All right, keeps your pants on."
[OTH],"Hey, bring us down some food, all right?"
Cartman,Okay.
[OTH],"Come on, Team!"
Cartman,Can somebody drive us to the mall?
[OTH],Touchdown!
[OTH],Yeah!
Cartman,"Hello, Mr. Hankey is appearing at the mall. Can somebody please take us?"
[OTH],And these Cornhuskers have the ball on the 50-yard line!
Cartman,"Uncle Stinky, can you drive us to the mall?"
[OTH],"Not now, Eric. Hold him! He has him! Where's the flag?!"
Cartman,"Uncle Stinky, my stupid friends want to see Mr. Hankey! You have to take us!"
[OTH],"I said ""no,"" and I mean ""no!"" Respect my authorituh!"
Cartman,Damn his Goddamned authorituh!
[OTH],"With only 16 seconds left, the Cornhu-"
[OTH],We interrupt this broadcast for a news bulletin.
[OTH],What?!
[OTH],"Mass murderer and extremely nasty person Charles Manson has escaped from prison! Manson was the man responsible for seven murders in the late '60's. Manson has never shown any signs of remorse for his crimes. If you see Manson, please kick his ass and smash his fucking face in for me, and then call the police. And now back to the game."
[OTH],And they've done it! They've scored 16 unanswered points in 15 seconds!
[OTH],"Oh, weak!"
[OTH],"Eric, I need you to take care of your cousin Elvin for a while."
Cartman,I don't wanna take care of Cousin Elvin!
[OTH],Won't yo do it for Grandma?
Cartman,All right. Give me $10.
[OTH],Kick ass!
[OTH],"Oh, Mary. Mary, you're real!"
[OTH],"Chuck, can you turn that thing down?"
[OTH],"Hello, movie house! Hello, burger parlor!"
[OTH],"You know what the spirit of Christmas is? It's another lie, from the lyin' pigs that consider me the witness-!"
[OTH],"Okay, Chuck! Thank you very much!"
Cartman,My family sucks ass!
[OTH],"Yeah, they do!"
[OTH],All families suck ass!
Cartman,Here. We got you some sticky cinnamon buns.
[OTH],"Wow, sweet!"
[OTH],Heyyy!
[OTH],"Dude, we have to get to the mall!!"
[OTH],"You guys, seriously!"
[OTH],What's the matter?
Cartman,"My stupid friends want to go to the mall to visit Mr. Hankey, but nobody would drive us."
[OTH],"Oh, bummer."
[OTH],I'll take you!
[OTH],"Uh, that's okay, Chuck. You just keep watching Christmas specials."
[OTH],"Hey, I didn't bust out of prison to be locked up in somebody's basement! I want some action!"
[OTH],"Good for you, Charlie!"
[OTH],Come on! I'll hot-wire your Grandpa's car!
[OTH],Do you really think we should go with this guy?
Cartman,"Stan, don't be such a dumbass. You have to trust people."
[OTH],"All right, boys, keep your heads down! We're goin' to the mall!"
[OTH],Hooray!
[OTH],I just can't believe he would go without our permission!
[OTH],"Now, Sharon, don't overreact. Maybe Stan didn't go to Cartman's Grandmother's. Maybe he just ran away or got kidnapped or something."
[OTH],"Well, I hope for his sake you're right."
[OTH],Hello?
[OTH],"Hello, Ms. Cartman. It's Sharon, Stan's mother. Did Stanley go up there to Nebraska with you?"
[OTH],"Oh, why yes he did. I thought you were dead, Sharon."
[OTH],Wwhat?!
[OTH],Stanley told me you had passed on. I'm glad to see that you're better.
[OTH],"Get the car, Randy! We're going to Nebraska!"
[OTH],"Ooooo, Stan's in trouble!"
[OTH],Do you see him?
[OTH],Not yet. I think we still have a ways to go.
[OTH],I can't wait to see him! He's gonna be so glad we came!
[OTH],I drove all the way from Montana to see Mr. Hankey.
[OTH],"That's nice, kid. I knew Mr. Hankey before he was even famous."
Cartman,How the hell did Mr. Hankey get so popular? Look at all this Mr. Hankey stuff.
[OTH],Mr. Hankey kicks ass!
Cartman,And another thing: it says that Mr. Hankey is also appearing at the Crossroads Mall!
[OTH],So?!
Cartman,"So, how can Mr. Hankey be here, and in another mall at the same time?"
[OTH],"Dude, Mr. Hankey has magic powers. He can do whatever he wants."
[OTH],How would you like to come with me to a more secluded part of the mall?
[OTH],(Okay)
[OTH],I really like that guy.
Cartman,"Oh, it looks like you finished your Fudgecicle, Elvin. God damnit, be quiet, Elvin! Shut up, Elvin! No, Elvin, bad Elvin!"
[OTH],"Folks need to understand that I am terror! I am fear! I am-! Oh, hey look, another holiday special."
[OTH],"And now, back to ""The Grinchy Poo"""
[OTH],"Grinchy Poo went up the chimney and stuffed the tree up
But then he heard a coo, like the cry of a dove
It was little Cindy Lou Poo, who was no more than two
""Mr. Hankey, why? Why are you taking our Christmas tree, why?""
And Old Grinchy Poo thought of a line, and he thought it up quick..."
[OTH],"All right, boys, you're up next. Welcome to Mr. Hankey's Happy Lollyland!"
[OTH],"Hoh, boy. Here we go!"
[OTH],"Howdy ho, boys."
[OTH],Mr. Hankey?
[OTH],"Gosh, you boys smell like flowers."
[OTH],You're not the real Mr. Hankey.
[OTH],Sure I am! Howdy ho!
[OTH],You look a lot bigger than the last time we saw you.
[OTH],"Well, Mr. Hankey has to grow too, you know. Howdy ho!"
[OTH],You boys want your picture with Mr. Hankey?
[OTH],This is not Mr. Hankey! This is a fake!
[OTH],"It's okay, kids. I'm real. Hoowwdy ho!"
[OTH],Hoowwdy ho!
[OTH],Why are you people doing this? Why would you lie like this? To children?
[OTH],"Look, kid. There's Mr. Hankeys like me in every shopping mall. There is no real Mr. Hankey."
[OTH],What?! What did you say?!
[OTH],"Oh, boy. You've done it now."
[OTH],Huh??
[OTH],Behold! Here's your false prophet!
[OTH],Boo!
[OTH],Ow!
[OTH],Die!
[OTH],Ow!
[OTH],Get out!
[OTH],You son of a bitch! Rip it down! Get out!
[OTH],"You lied to me, Mother. You said it was the real Mr. Hankey."
[OTH],"Uh, well, yes, but-"
[OTH],"I will not forget this, Mother. I will not forget this, ever."
[OTH],This is revolution!
[OTH],Wah-hahow!
[OTH],"Uh oh, they're rioting again."
[OTH],"And all the poos down in Pooville joined hands and they sang
They sang all the same
And he himself, the Grinchy Poo, carved the roast poo."
[OTH],"Wow, man. That's beautiful. He was evil, but now he's good."
[OTH],What's happening?
[OTH],Some kid must have said it wasn't the real Mr. Hankey again.
Cartman,I told you guys. The holiday season is nothing but lies and bullcrap!
[OTH],"Well, how was it?"
[OTH],It was a fake!
[OTH],"Oh, I'm sorry."
[OTH],Cartman was right! The holiday season is for idiots!
[OTH],"Where did you go, Uncle Charlie?"
[OTH],"Uh, I went to a beauty parlor and had my tattoo redone. Look!"
Cartman,"Oh, uh that's pretty cool."
[OTH],Hey. Where's Kenny?
[OTH],Oh. He's... around.
[OTH],"(Hey guys, what's up?)"
[OTH],"Oh, hey Kenny."
[OTH],"Come on, I'll buy you kids an orange Smoothie."
[OTH],Ooooo!
[OTH],"Hey, there he is! That's Charlie Manson!"
[OTH],"Run for your lives, boys!"
Cartman,Ugh! Wait! You guys. Seriously.
[OTH],"Come back here, God damnit! He's getting away!"
[OTH],"Keep your heads down, kids!"
Cartman,Ey! What the hell is wrong with you people?!
[OTH],"I can't believe they would put a fake Mr. Hankey in a mall! If Mr. Hankey ever found out, he'd be so pissed!"
[OTH],We interrupt this program for a breaking news story.
[OTH],A high speed car chase is happening right now on interstate 3. We go now to our live sky-fi helicopter.
[OTH],"Ron, it looks as though the chase is proceeding west down the interstate."
[OTH],"Oh, that looks a lot like your car, Harold."
[OTH],"We understand that Charles Manson is inside the car with several hostages, all of whom are children My God, what is this world coming to? Well, we'd like to take a moment to tell you that this car chase is being brought to you by Snacky S'mores , the creamy bonbon s'mores in a delightful cookie crunch."
[OTH],They're gaining on us!
[OTH],Fudgecicle!
[OTH],Kickass!
[OTH],"God, I hate the holiday season!"
[OTH],"Oh, hello kids. Having fun-?"
[OTH],Get in the house!
[OTH],"Alrighty, then."
Cartman,Lock the door!
[OTH],"Oh my God, it's Charlie Manson! Whoa!"
[OTH],What's going on?
[OTH],There's a bunch of policemen chasing after us!
[OTH],"Quiet down, we're watching television."
[OTH],"Oh, Phillip, what a precious gift!"
[OTH],"That's right, Terrance. This is the season for sharing."
[OTH],The cops are here!
[OTH],Howard!
[OTH],"How did you get out, son?"
[OTH],"All right, Manson, we know you're in there! Come out peacefully, and we'll shoot you!"
[OTH],"Tell him we won't shoot him, Boss."
[OTH],"Oh, yeah. That's a good idea. Come out peacefully, and we won't shoot you!"
[OTH],"Oh, look. Police Chief Stevens got a new haircut."
[OTH],"Get down, Ma!"
[OTH],"Hey, man, don't point a gun at your own mother!"
[OTH],"What the hell is wrong with you, Manson? You're acting all funny! Everybody just sit down and shut up! We're not going back to the big house!"
[OTH],"Well, Howard, you've done it again! You've ruined Christmas!"
[OTH],"This is Robert Pooner reporting live from Nebraska, where escaped convict Charlie Manson has walled himself up in a house. We understand that there are hostages, and that the situation is critical, , so we would like to remind you all that this live hostage crisis is being brought to you by Palmoral Sun Block . Remember, if it isn't Palmoral, you're gonna get cancer."
[OTH],What's going on here?!
[OTH],"We've got a critical situation, ma'am. Charlie Manson is holding everybody inside hostage."
[OTH],Is this the Cartman residence?
[OTH],"Yes, ma'am."
[OTH],Give me that! Stanley! This is your mother!
[OTH],Oh ooh.
[OTH],"What's your mom doing here, dude?"
[OTH],"Young man, I have had it! You have disobeyed me for the last time!"
[OTH],"Wow, she's really pissed."
[OTH],"I'm glad I'm not you right now, kid."
[OTH],"What do you have to say for yourself, Stanley?!"
[OTH],...Sorry.
[OTH],"Still more developments in the Manson hostage crisis. Uh, it appears now that eight-year-old Stan Marsh is in BIG, big trouble. He apparently disobeyed his parents, left home without telling them, and uh, Tom, his- his mother is very disappointed with him."
[OTH],Damn it! What are we gonna do?
[OTH],Sshhhh! We're watching television.
[OTH],Waitwaitwaitwait.
[OTH],Check out this one.
[OTH],"Hold on, hold on. Over here, over here."
[OTH],"Okay, here I come, okay."
[OTH],"Okay, waitwait waitwait."
[OTH],Come out with your hands up!
[OTH],"Damnit, Dad, why didn't you put a back door on this house?!"
[OTH],"Well, there's that old window in the bathroom; you could probably squeeze through there."
[OTH],"That's it! We're going out the bathroom window! Come on, Manson!"
[OTH],But I gotta see what happens.
[OTH],"Come on, damn it! Well, it's good seeing you all. Don't move until we're gone or I'll shoot you dead. Happy holidays."
[OTH],Happy holidays.
[OTH],"Dude, they're gonna kill me."
[OTH],"All right, Manson, this is it! We're coming in after you! There's gonna be a lot of bloodshed, and a lot of innocent people are gonna die! You've got until 100-Marshmallow to come out!"
[OTH],"1-Marshmallow, 2-Marshmallow,..."
[OTH],"All right, it's open! Let's go!"
